igoID,igoAbbr,igoShortName,igoLongName,StartYear,EndYear,EndReason,Notes
25,ACWL,Advisory Centre on WTO Law,Advisory Centre on WTO Law (ACWL),2001,,None,"WEBSITE: http://www.africa-union.org/ NOTES: ;WEBSITE: http://www.pftac.org/AFSPC?index.htm NOTES:  ;WEBSITE: http://www.boip.int/ NOTES: ;WEBSITE: http://www.iter.org/ NOTES: ;WEBSITE: http://www.acwl.ch/ NOTES:   [Per org's website (accessed 3/12/08), 20 LDCs and 9 MDCs became members by signing initial agreement. Later, 7 LCDs and 1 MDC became members via accession: Jordan (2002), Oman (2003), Mauritius (2003), Turkey (2003), El Salvador (2004), Indo"
420,AFESD,Arab Fund for Social/Economic Development,Arab Fund for Economic and Social Development (AFESD),1968,,None,
80,AFEXIMB,Afr. Exp/Import Bank,African Export Import Bank (Afreximbank),1993,,None,
100,AFGEC,Afr. Fund Guarantee & Econ. Coop.,African Fund for Guarantee and Economic Cooperation,1977,,None,
160,AFPU,African Postal Union,African Postal Union,1961,,None,
90,AFRAND,Afr. Foundation for R & D,African Foundation for Research and Development (AFRAND),1994,,None,
725,AFSPC,Association of Financial Supervisors of Pacific Countries,Association of Financial Supervisors of Pacific Countries (AFSPC),2002,,None,WEBSITE: http://www.icc-cpi.int/home.html&l=en NOTES: ;WEBSITE: http://www.2ie-edu.org/ NOTES: ;WEBSITE: http://www.marri-rc.org/ NOTES: ;WEBSITE: http://www.acdi-cida.gc.ca/CIDAWEB/acdicida.nsf/En/JUD-5292536-HRK NOTES: 
410,AFTE,Arab Federation for Technical Educ.,Arab Federation for Technical Education (AFTE),1980,,None,
110,AGC,African Groundnut Council,African Groundnut Council,1964,,None,
430,AGPUNDO,Arab Gulf Prog. for UN Dev. Org.,Arab Gulf Programme for United Nations Development Organizations,1981,,None,
450,AIC,Arab Investment Company,Arab Investment Company (AIC),1974,1999,None,
590,AIDC,Asian Industrial Develop. Council,Asian Industrial Development Council (AIDC),1966,1974,None,
440,AIDO,Arab Industrial Devel. & Mining Org.,Arab Industrial Development and Mining Organization (AIDMO),1968,,None,
730,AIOEC,Assoc. Iron Ore Expt. Countries,Association of Iron Ore Exporting Countries,1975,1998,None,
115,AIPO,African Intellectual Property Organization,African Intellectual Property Organization,1976,,None,
275,AITIC,Agency for International Trade Information and Cooperation,Agency for International Trade Information and Cooperation (AITIC),2004,,None,WEBSITE: http://www.gene.ch/gentech/2002/Feb/msg00125.html NOTES: ;WEBSITE: http://www.benproject.org/ NOTES: 
460,ALO,Arab Labor Org.,Arab Labour Organization (ALO),1965,,None,
120,AMCO,African & Malagasy Coffee Org.,African Malagasy Coffee Organization,1960,,None,
125,AMCOW,African Ministers' Council on Water,African Ministers' Council on Water (AMCOW),2002,,None,"WEBSITE: http://www.boip.int/ NOTES: ;WEBSITE: http://www.bibalex.org/ NOTES: ;WEBSITE: http://www.segib.org/ NOTES:   Per Final Declaration of 2003 Summit (pdf on org's website 6/21/08), 21 countries participated in 2003 Summit that created Secretariat (Andorra joined in 2004, per Wikipedia).;WEBSITE: http://www.wmdcommission.org/ NOTES: The Commission has 14 members: the Chairman plus 13 Commissioners chosen by him [these individuals come from: Sweden (chair), Australia, Brazil, China, India, Indonesia, Ireland, Japan, Jordan, Russia, Senegal, Sri Lanka, UK, USA.  [Appears to "
490,AMF,Arab Monetary Fund,Arab Monetary Fund (AMF),1976,,None,
240,AMIPO,Afro-Malagasy Industrial Property Office,Afro-Malagasy Industrial Property Office,1962,1975,replaced,
250,AMPTU,Afro-Malagasy Postal and Telecomm Union,Afro-Malagasy Postal and Telecommunications Union/African Posts and Telecommunic,1961,1996,None,
40,AMSC,African/Malgasy Sugar Council,African and Malagasy Sugar Council,1966,1977,None,
470,AMU,Arab Maghreb Union,Arab Maghreb Union (AMU),1989,,None,
360,ANZUS,Australia-NewZealand-US Treaty Organization,ANZUS Council,1951,,None,
500,AOAD,Arab Org for Ag. & Develop.,Arab Organization for Agricultural Development (AOAD),1970,,None,
140,AOCRS,Afr. Org. of Cartography & Remote Sensing,African Organization of Cartography and Remote Sensing (AOCRS),1988,,None,
510,AOMR,Arab Org. for Mineral Resources,Arab Organization for Mineral Resources (AOMR),1979,1991,None,
640,AOPU,Asian-Oceanic Postal Union,Asian-Oceanic Postal Union/Asian-Pacific Postal Union,1962,,None,
340,AP,Andean Parliament,Andean Parliament,1980,,None,
550,APCC,Asian/Pacific Coconut Comm.,Asian and Pacific Coconut Community (APCC),1968,,None,
650,APEC,Asia-Pacific Economic Cooperation,Asia-Pacific Economic Cooperation (APEC),1989,,None,
2060,APFIC,Asia Pacific Fisheries Comm,Indo-Pacific Fisheries Council/Asia Pacific Fishery Commission (APFIC),1948,,None,
660,APIBD,Asia-Pac Instit. for Broadcast Develop.,Asia-Pacific Institute for Broadcasting Development (AIBD),1987,,None,
600,APO,Asian Productivity Organization,Asian Productivity Organization,1961,,None,
150,APPA,African Petroleum Producers Assoc.,African Petroleum Producers Association (APPA),1987,1998,None,
670,APT,Asian-Pacific Telecommunity,Asia-Pacific Telecommunity (APT),1976,,None,
155,APTU,African Postal and Telecom Union,African Postal and Telecommunications Union,1935,1965,None,
610,ARC,Asian Reinsurance Corp.,Asian Reinsurance Corporation (Asian Re),1979,,None,
4070,ARCAL,Promotion of Nuc. Sci & Tech in L/A,Regional Cooperation Agreement for the Promotion of Nuclear Science,1985,,None,
170,ARIPO,Afr. Regional Industrial Property Org.,African Regional Industrial Property Organization (ARIPO),1976,,None,
520,ARPU,Arab Postal Union,Arab Postal Union/Arab Permanent Postal Commission (APPC),1952,,None,
190,ASATP,Afr. School of Architec. & Town Planning,African School of Architecture and Town Planning,1975,,None,
760,ASBLAC,Assoc. Superv. Banks of L/A & Caribb.,Association of Supervisors of Banks of Latin America and the Caribbean,1981,,None,
200,ASCBC,African Standing Conf. on Biblio. Control,African Standing Conference on Bibliographic Control (ASCOBIC),1978,2000,None,
740,ASCRubber,Association of Rubber Producing States,Association of Natural Rubber Producing Countries (ANRPC),1970,,None,
750,ASEAN,Association of Southeast Asian Nations,Association of South East Asian Nations (ASEAN),1967,,None,
290,ASECNA,Agency for Safety of Aerial Nav. in Afr. & Madagas.,Agency for the Safety of Aerial Navigation in Africa and Madagascar,1959,,None,
540,ASEF,Asia-Europe Foundation,Asia-Europe Foundation (ASEF),1997,,None,
560,ASPAC,Asia & Pacific Council,Asian and Pacific Council (ASPAC),1966,1973,None,
210,ATO,African Timber Org.,African Timber Organization (ATO),1976,,None,
770,ATPC,Assoc. Tin Producing Countries,Association of Tin Producing Countries (ATPC),1983,2001,None,
3761,AU,African Union,African Union (AU),2001,,None,WEBSITE: http://www.savacommission.org/ NOTES: ;WEBSITE: http://www.bobpigo.org/ NOTES: 
620,AVRDC,Asian Vegetable Res. & Dev. Center,Asian Vegetable Research and Development Center (AVRDC),1971,,None,
70,AfDB,African Development Bank,African Development Bank,1963,,None,
130,AfrOPDA,Afr. Oil Palm Dev. Assoc.,African Oil Palm Development Association (AFOPDA),1985,,None,
180,Africare,Africare,African Reinsurance Corporation (AFRICA RE),1976,,None,
310,AmCC,Amazonian Coop. Council,Amazonian Cooperation Council,1978,,None,
330,Andean,Andean Pact,Andean Common Market (ANCOM),1970,,None,
2770,AralSea,Int'l Fund for Saving Aral Sea,International Fund for Saving the Aral Sea (IFAS),1997,,None,
530,ArticC,Artic Council,Arctic Council,1996,,None,
580,AsDB,Asian Dev. Bank,Asian Development Bank (ADB),1966,,None,
800,BALTBAT,Baltic Batallion,Baltic Peacekeeping Battalion (BALTBAT),1994,,None,
780,BC,Baltic Council,Baltic Council,1990,,None,
870,BCSC,British Commonwealth Scientific Comm,British Commonwealth Scientific Committee/Commonwealth Science Council (CSC),1946,,None,
790,BEF,Baltic Environ. Forum,Baltic Environmental Forum (BEF),1995,,None,
795,BEN,Baltic Euregional Network,Baltic Euregional Network (BEN),2005,,None,"WEBSITE: http://portal.unesco.org/education/en/ev.php-URL_ID=31056&URL_DO=DO_TOPIC&URL_SECTION=201.html - www.lins.no/events/NETF%20Completion%2007%20Presentations/FAPED%20Program.ppt - www.dakar.unesco.org/news/faped/en/020131_faped.shtml NOTES:   Dakar Website (accessed 11/1/08): [lists Mauritius,  Namibia, Senegal, Sudan, Tanzania as the countries that participated in drafting Charter in 2002].  YIO lists as H (Inactive), but Power Point presentation website from 2007 indicates it is"
840,BENELUX,Benelux Community,Benelux Economic Union,1958,,None,
830,BESCC,Benelux Economic & Social Cons. Committee,Benelux Economic and Social Consultative Committee/Benelux Economic and Social A,1960,,None,
820,BIISEF,Banque Inter'l d'Info. sur les Estats Francophone,Banque internationale d'information sur les Etats francophones (BIEF),1986,1996,integrated,
850,BIONET,BIONET,BioNET INTERNATIONAL - Global Network for Biosystematics (BI),1991,,None,
2470,BIPM,International Bureau of Weights & Measures,International Bureau of Weights and Measures (BIPM),1875,,None,
810,BIS,Bank for International Settlements,Bank for International Settlements,1930,,None,
860,BNDP,Board of Nordic Dev. Projects,Board of Nordic Development Projects,1968,1987,None,
825,BOBP,Bay of Bengal Programme Inter-Governmental Organization,Bay of Bengal Programme Inter-Governmental Organization (BOBP-IGO),2003,,None,"WEBSITE: http://www.boip.int/ NOTES: ;WEBSITE: http://www.bibalex.org/ NOTES: ;WEBSITE: http://www.segib.org/ NOTES:   Per Final Declaration of 2003 Summit (pdf on org's website 6/21/08), 21 countries participated in 2003 Summit that created Secretariat (Andorra joined in 2004, per Wikipedia)."
300,BONN,Bonn Agreement,Agreement for cooperation in dealing with pollution of the North Sea (Bonn Agree,1983,,None,
3810,BSEC,Black Sea Economic Council,Organization of Black Sea Economic Cooperation (BSEC),1992,,None,
1280,CAAD,Concerted Action for African Develop.,Concerted Action for African Development,1979,1988,None,
1180,CAARC,Commonwealth Advis. Aero. Research Council,Commonwealth Advisory Aeronautical Research Council (CAARC),1946,1993,None,
1360,CAB,Convenio Anders Bello,"Convenio Andrs Bello de integraci n educativa, cientfica y cultural",1970,,None,
871,CABI,CAB International,CAB International,1986,,None,
950,CACB,Central Am. Coffee Board,Central American Coffee Board,1975,1979,replaced,
1350,CACI,Conferencia de Autoridades Cinematogrficas de Iberoamerica,Conferencia de Autoridades Cinematogrficas de Iberoamerica (CACI),1989,,None,
970,CAEC,Cent. American Energy Comm.,Central American Energy Commission,1979,1993,None,
1030,CAECC,Central Asian Economic Community,Central Asian Economic Community (CAEC),1994,,None,
980,CAIPA,Centr. Am. Instit. for Public Admin.,Central American Institute for Public Administration,1954,,None,
30,CAMES,Afr. & Malagasy Council for Higher Ed.,African and Malagasy Council for Higher Education,1968,,None,
1310,CAMRSD,Conf. African Ministers for Sustain Development,Conference of African Ministers Responsible for Sustainable,1993,1997,replaced,
1000,CAMSF,Cent. Am Monetary Stab. Fund,Central American Monetary Stabilization Fund,1969,1991,integrated,
880,CARICOM,Caribbean Community,Caribbean Community (CARICOM),1973,,None,
912,CARIFTA,Caribbean Free Trade Area,Caribbean Free Trade Association (CARIFTA),1965,1973,replaced,
1010,CARII,Central American Research Institute for Industry,Central American Research Institute for Industry,1956,1997,None,
1200,CATC,Commonwealth Air Transport Council,Commonwealth Air Transport Council,1945,1991,None,
1355,CBFP,Congo Basin Forest Partnership,Congo Basin Forest Partnership (CBFP),2002,,None,WEBSITE: http://www.unctad.org/infocomm/anglais/rubber/ecopolicies.htm#ITRO NOTES: ;WEBSITE: http://www.africa-union.org/ NOTES: ;WEBSITE: http://www.pftac.org/AFSPC?index.htm NOTES:  ;WEBSITE: http://www.boip.int/ NOTES: 
1040,CBI,Centrl Bureau: Intl Map of World,"Central Bureau for the International 1:1,000,000 Map of the World",1909,1953,None,
1420,CBSS,Council of Baltic Sea States,Council of the Baltic Sea States (CBSS),1992,,None,
1050,CCNR,Central Commission for the Navigation of the Rhine,Central Commission for the Navigation of the Rhine,1815,,None,
1060,CCOM,Cent. Compensation Off. of Maghreb,Central Compensation Office of the Maghreb,1969,2000,None,
1120,CCPA,Cocoa Producers Alliance,Cocoa Producers Alliance,1962,,None,
875,CComm,Caribbean Commission,Caribbean Commission,1946,1961,replaced,
890,CDB,Caribbean Development Bank,Caribbean Development Bank (CDB),1969,,None,
4485,CEAO,West African Economic Community,West African Economic Community (CEAO),1959,1994,replaced,
1210,CEC,Commonwealth Economic Committee,Commonwealth Economic Committee,1958,1967,None,
1020,CEEPN,Central & Eastern Eur. Privatization Network,Central and Eastern European Privatization Network (CEEPN),1991,,None,
1070,CEFTA,Central Europe FTA,Central European Free Trade Association (CEFTA),1992,,None,
1080,CEI,Central European Initiative,Central European Initiative (CEI),1989,,None,
1220,CELC,Commonwealth Education Liaison Committee,Commonwealth Education Liaison Committee,1960,1967,integrated,
1260,CEMAC,Central African Economic & Monetary Union,CommunautÈ Èconomique et monÈtaire d'Afrique centrale (CEMAC),1994,,None,
1100,CENTO,Central Treaty Organization,Central Treaty Organization (CENTO),1955,1979,None,
1510,CEPGL,Economic Community of Great Lakes States,Economic Community of the Great Lakes Countries,1976,,None,
1720,CERN,European Org for Nuclear Research,European Organization for Nuclear Research,1954,,None,
910,CFATF,Caribbean Fin. Action Task Force,Caribbean Financial Action Task Force (CFATF),1994,,None,
1160,CFC,Common Fund for Commodities,Common Fund for Commodities (CFC),1989,,None,
1320,CHSTEA,Conference Heads of State of Equ. Africa,Conference of Heads of State of Equatorial Africa,1959,1968,None,
1345,CICA,Conference on Interaction and Confidence-Building Measures in Asia,Conference on Interaction and Confidence-Building Measures in Asia (CICA),2002,,None,"WEBSITE: http://www.nwhf.no/ NOTES:   Website (accessed 10/31/08) indicates that Board of Governors consists of reps from UNESCO plus 5 states: Norway, Denmark, Finland, Iceland, Sweden.;WEBSITE: http://www.africa-union.org/root/au/organs/Pan-African_Parliament_en.htm NOTES: ;WEBSITE: http://usinfo.state.gov/products/pubs/proliferation/ - http://www.state.gov/t/isn/c10390.htm NOTES: ;WEBSITE: http://www.kbri-canberra.org.au/press/press041203e_deplu.htm - http://www.dfat.gov.au/asean/joint_media_statement.html - www.mne.gov.tl/en/index.php?option=com_content&view=article&id=20&Itemid=52 NOTES: "
1140,CIFC,Comm Intl Finan Cntrl Macedonia,Commission for International Financial Control in Macedonia,1905,1914,None,
1290,CIMA,Conference interafricaine des marchs d'assurances,Conf rence interafricaine des marchs d'assurances (CIMA),1992,,None,
1230,CIS,Commonwealth of Independent States,Commonwealth of Independent States (CIS),1991,,None,
1400,CMAEC,Council of Min. Asian Econ. Coop.,Council of Ministers for Asian Economic Cooperation,1968,1971,None,
1330,CMAOC,Conference West African Minis. Agricult.,Conference of Ministers of Agriculture of West and Central Africa,1991,,None,
1370,CMEA,Council for Mutual Economic Aid,Council for Mutual Economic Aid (CMEA),1949,1991,None,
1410,CMHASG,Council of Min. of Health of Arab Gulf States,Council of Ministers of Health of the Arab States of the Gulf,1976,,None,
1390,COE,Council of Europe,Council of Europe,1949,,None,
1380,COLOMBO,Council for Tech Coop in S & SE Asia,Council for Technical Cooperation in South and Southeast Asia (Colombo Plan),1950,,None,
1170,COMESA,Comm Market for East/South Africa,Common Market for Eastern and Southern Africa (COMESA),1994,,None,
1300,CONFEJES,Conference des Ministres jeunesse...Francais,ConfÈrence des ministres de la jeunesse et des sports des pays,1977,,None,
1340,COPTAC,Conf. of Posts & Telecom. Administr. of Cent. Afr.,Conference of Posts and Telecommunications Administrations of Central Africa,1975,,None,
1130,COSAVE,COSAVE,ComitÈ Regional de Sanidad Vegetal del Cono Sur (COSAVE),1991,,None,
913,COrg,Caribbean Organization,Caribbean Organization,1960,1965,None,
1415,CP,Council of Patrons,Council of Patrons,2002,,None,"WEBSITE: http://www.acwl.ch/ NOTES:   [Per org's website (accessed 3/12/08), 20 LDCs and 9 MDCs became members by signing initial agreement. Later, 7 LCDs and 1 MDC became members via accession: Jordan (2002), Oman (2003), Mauritius (2003), Turkey (2003), El Salvador (2004), Indo;WEBSITE: http://www.amcow.org/ NOTES:   Per 2002 Abuja Declaration on Zambian government's website (accessed 3/12/08), there were 43 initial governments listed [I used this to code initial membership].;WEBSITE: http://www.boip.int/ NOTES: ;WEBSITE: http://www.bibalex.org/ NOTES: "
1095,CPAB,Central PanAm Bureau Eugenics,Central Pan American Bureau of Eugenics and Homiculture,1927,1949,None,
1270,CPSC,Comm Portugese Speaking Countries,Community of Portuguese-Speaking Countries,1996,,None,
920,CPU,Caribbean Postal Union,Caribbean Postal Union (CPU),1997,,None,
873,CSLF,Carbon Sequestration Leadership Forum,Carbon Sequestration Leadership Forum (CSLF),2003,,None,WEBSITE: www.rainforestcoalition.org NOTES: ;WEBSITE: http://www.s-cica.org/page.php?page_id=7&lang=2 NOTES: ;WEBSITE: http://www.cbfp.org/ NOTES: 
1145,CTCAf,Comm Tech Cooperation in SSAf,Commission for Technical Cooperation in Africa South of the Sahara,1950,1965,None,
1250,CTO,Commonwealth Telecom Board,Commonwealth Telecommunications Board/CTO,1928,,None,
2040,CWGC,Commonwealth War Graves Commission,Imperial War Graves Commission/Commonwealth War Graves Commission,1917,,None,
900,CXC,Caribb. Examinations Council,Caribbean Examinations Council (CXC),1972,,None,
1115,CfRN,Coalition for Rainforest Nations,Coalition for Rainforest Nations,2005,,None,WEBSITE: http://www.marri-rc.org/ NOTES: 
1190,ComAB,Commonwealth Agricultural Bureau,Commonwealth Agricultural Bureau,1929,1985,replaced,
1240,ComSec,Commonwealth Secretariat,Commonwealth Secretariat (ComSec),1965,,None,
1460,DBGLS,Dev. Bank of Great Lake States,Development Bank of the Great Lakes States,1977,2000,None,
1450,DLCOEA,Desert Locust Control Org-East Af,Desert Locust Control Organization for East Africa,1962,,None,
1440,Danube,Danube Commission,Danube Commission,1948,,None,
1470,EACM,East African Common Market,East African Common Market (EACM),1967,1977,None,
4120,EACS,Sec. for the Commission for East Afr. Coop.,Secretariat of the Commission for East African Cooperation (EAC),1996,,None,
1475,EACSO,East African Common Services Org,East African Common Services Organization,1961,1967,replaced,
1480,EADB,East African Development Bank,East African Development Bank (EADB),1967,,None,
1550,EAPC,Euro-Atlantic Partnership Council,Euro Atlantic Partnership Council (EAPC),1994,,None,
1540,EAPO,Eurasian Patent Org.,Eurasian Patent Organization (EAPO),1994,,None,
1570,EBRD,European Bank for Reconstruction & Development,European Bank for Reconstruction and Development (EBRD),1990,,None,
1580,ECB,European Central Bank,European Central Bank (ECB),1998,,None,
1489,ECCA,Eastern Caribb. Central Bank,Eastern Caribbean Currency Area (ECCA),1979,1983,replaced,
1500,ECCAS,Economic Community of Central African States,Economic Community of Central African States (ECCAS),1981,,None,
1490,ECCB,Eastern Caribb. Central Bank,Eastern Caribbean Central Bank (ECCB),1983,,None,
1610,ECCD,Euro Comm for Control of Danube,European Commission for Control of the Danube,1856,1939,None,
1486,ECCM,East Caribbean Common Market,East Caribbean Common Market (ECCM),1968,1981,integrated,
1620,ECCPIF,Euro Company Chem Process Irrad Fuels,European Company for the Chemical Processing of Irradiated Fuels,1957,1982,None,
1530,ECO,Economic Cooperation Organization,Economic Cooperation Organization (ECO),1985,,None,
1520,ECOWAS,Economic Community of West African States,Economic Community of West African States (ECOWAS),1975,,None,
1640,ECPTA,Euro Conf Postal Telecom Admin,European Conference of Postal and Telecommunications Adminstrations,1959,,None,
1585,ECSC,European Coal & Steel Community,European Coal and Steel Community,1952,1992,None,
1653,EEC,European Economic Community,European Economic Community/European Community,1958,1992,None,
1645,EFCC,Euro Food Code Council,European Food Code Council,1958,1965,integrated,
1660,EFILWC,Eur. Foundation for Impr. of Living & Work Conditions,European Foundation for the Improvement of Living and Working,1975,,None,
1670,EFTA,Euro Free Trade Assn,European Free Trade Association,1960,,None,
1690,EIB,Euro Investment Bank,European Investment Bank,1957,,None,
1680,EIPA,Europ. Institute of Public Admin.,European Institute of Public Administration (EIPA),1981,1995,integrated,
1810,ELDO,Euro Space Vehicle Launcher Dev Org,European Space Vehicle Launcher Development Organization,1964,1975,replaced,
1535,EMB,Empire Marketing Board,Empire Marketing Board,1926,1933,None,
1700,EMBC,European Molecular Biology Conference,European Molecular Biology Conference (EMBC),1969,,None,
1710,EMBL,Eur. Molecular Biol. Lab,European Molecular Biology Laboratory (EMBL),1973,,None,
1715,EMI,European Monetary Institute,European Monetary Institute (EMI),1994,1998,replaced,
1560,EMPPO,Euro & Med Plant Protect Org,European and Mediterranean Plant Protection Organization,1951,,None,
1770,EPA,Euro Productivity Agency,European Productivity Agency,1953,1961,None,
1760,EPFSC,Euro. Postal Financial Services Comm.,European Postal Financial Services Commission (EFPSC),1992,,None,
1740,EPO,European Patent Organization,European Patent Office (EPO)/E.P. Organization,1977,,None,
1750,EPU,European Payments Union,European Payments Union,1950,1958,replaced,
1790,ESA,European Space Agency,European Space Agency (ESA),1975,,None,
1780,ESO,European Southern Observatory,European Southern Observatory,1962,,None,
1800,ESRO,Euro Space Research Org,European Space Research Organization,1964,1975,replaced,
1820,ETF,European Training Foundation,European Training Foundation (ETF),1990,,None,
1830,EU,European Union,European Union (EU),1993,,None,
1600,EUFMD,Euro Comm for Control Foot-Mouth Disease,European Commision for the Control of Foot and Mouth Disease,1954,,None,
1565,EURATOM,European Atomic Energy Agency,European Atomic Energy Commission (EURATOM),1958,1992,None,
1730,EUROCONTROL,Euro Org Safety Air Navig,European Organization for the Safety of Air Navigation/EUROCONTROL,1960,,None,
1630,EUROFIMA,Euro Comp for Finance Railway Rolling Stock,European Company for the Financing of Railway Rolling Stock,1956,,None,
1590,EUROMET,European Collaboration on Measurement Standards,European Collaboration on Measurement Standards (EUROMET),1987,,None,
1430,Entente,Entente Council,Council of the Entente/Entente Council,1959,,None,
1840,FAO,Food & Ag Org,FAO,1945,,None,
1855,FAPED,Forum of African Parliamentarians for Education,Forum of African Parliamentarians for Education (FAPED),2002,,None,"WEBSITE: http://www.wmdcommission.org/ NOTES: The Commission has 14 members: the Chairman plus 13 Commissioners chosen by him [these individuals come from: Sweden (chair), Australia, Brazil, China, India, Indonesia, Ireland, Japan, Jordan, Russia, Senegal, Sri Lanka, UK, USA.  [Appears to ;WEBSITE: http://www.savacommission.org/ NOTES: ;WEBSITE: http://www.bobpigo.org/ NOTES: ;WEBSITE: http://www.recsasec.org/ NOTES: "
1860,FDIPLAC,Fund 4 Devel. of Indigen Peoples of LA/Carib,Fund for the Development of the Indigenous Peoples of Latin America,1992,,None,
1850,FEC,Far East Comm,Far East Commission,1945,1951,None,
1910,G15,Group of 15,Group of Fifteen (G-15),1989,,None,
2285,G24,Group of 24,Intergovernmental Group of Twenty-Four on International Monetary,1972,,None,
1950,G3,Group of 3,Group of Three (G-3),1995,,None,
1880,GATT,General Agreement Tariff & Trade,General Agreement on Tariffs and Trade (GATT),1948,1995,replaced,
1970,GBACT,Group on Balkan Agreem. on Coop. on Tourism,Group on the Balkan Agreement on Cooperation on Tourism,1971,1988,None,
1990,GCC,Gulf Cooperation Council,Gulf Cooperation Council (GCC),1981,,None,
1980,GCRSNC,Guidance Comm. for Road Safety in Nordic Cntry,Guidance Committee for Road Safety in the Nordic Countries,1993,1999,None,
1900,GEF,Global Environ. Fund,Global Environment Facility (GEF),1991,,None,
1960,GEO,Group on Earth Observations,Group on Earth Observations (GEO),2005,,None,WEBSITE: http://www.s-cica.org/page.php?page_id=7&lang=3 NOTES: 
1905,GHSI,Global Health Security Initiative,Global Health Security Initiative (GHSI),2001,,None,WEBSITE: http://en.wikipedia.org/wiki/Bank_of_the_South NOTES: ;WEBSITE: http://www.ue2007.pt/UE/vEN/Reunioes_Eventos/Informais/IMMJHA.htm NOTES: ;WEBSITE: http://www.aitic.org/ NOTES: 
1920,GLACSEC,Group of L/A & Carib. Sugar Exp. Countries,Group of Latin American and Caribbean Sugar Exporting Countries,1974,2001,None,
2000,GOIC,Gulf Org. for Industrial Consulting,Gulf Organization for Industrial Consulting (GOIC),1976,,None,
1870,GRBDO,Gambia River Basin Dev. Org.,Gambia River Basin Development Organization,1978,,None,
2010,HCPIL,Hague Conf on Private Intl Law,Hague Conference on Private International Law,1955,,None,
2020,IABE,Ibero-Am Office of Education,Ibero-American Office of Education/Organization of Ibero-American States for Edu,1949,,None,
2345,IABath,Intl Assoc for Public Baths,International Association for Public Baths and Cleanliness,1912,1923,None,
2120,IACB,Inter-Am Coffee Board,Inter-American Coffee Board,1940,1948,replaced,
2110,IACI,Inter-Am Children's Instit,Inter-American Children's Institute,1927,,None,
2080,IACS,Inter-Af Cmte Stat,Inter-African Committee on Statistics,1954,1965,None,
2140,IACSS,Inter-Am Conf on Social Security,Inter-American Conference on Social Security,1942,,None,
2130,IACW,Inter Am Comm Women,Inter-American Commission of Women,1928,1965,integrated,
2160,IADB,Inter-Am Dev Bank,Inter-American Development Bank,1959,,None,
2150,IADefB,Inter-American Defense Board,Inter-American Defense Board,1942,,None,
2370,IAEA,Intl Atomic Energy Agency,International Atomic Energy Agency,1957,,None,
2170,IAFC,Inter-Am Fed of Cotton,Inter-American Federation of Cotton,1959,1966,None,
2175,IAHC,Inter American High Comm,Inter-American High Commission,1916,1931,None,
2190,IAIAS,Inter-Am Instit of Ag Science,Inter-American Institute of Agricultural Science/Inter-American Institute for Co,1942,,None,
2200,IAIC,Inter-Am Invest Corp.,Inter-American Investment Corporation,1988,,None,
2220,IAIGC,Inter-Arab Investment Guarantee Corp.,Inter-Arab Investment Guarantee Corporation (IAIGC),1974,,None,
2180,IAII,Inter-American Indian Insitit,Inter-American Indian Institute,1940,1953,integrated,
